순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
1,KOSDAQ,491000,리브스메드,40350.0,120000.0,197.40%
2,KOSDAQ,318060,그래피,22000.0,62000.0,181.82%
3,KOSDAQ,376270,HEM파마,48300.0,130000.0,169.15%
4,KOSDAQ,372320,큐로셀,29750.0,80000.0,168.91%
5,KOSDAQ,950160,코오롱티슈진,104800.0,280000.0,167.18%
6,KOSDAQ,125210,아모그린텍,9050.0,24000.0,165.19%
7,KOSDAQ,290740,액트로,11600.0,29000.0,150.00%
8,KOSDAQ,458870,씨어스,28800.0,71750.0,149.13%
9,KOSDAQ,456010,아이씨티케이,24200.0,60000.0,147.93%
10,KOSDAQ,304360,에스바이오메딕스,26300.0,65000.0,147.15%
11,KOSDAQ,032500,케이엠더블유,28400.0,70000.0,146.48%
12,KOSDAQ,282720,금양그린파워,8310.0,20000.0,140.67%
13,KOSDAQ,389650,넥스트바이오메디컬,41050.0,97667.0,137.92%
14,KOSDAQ,397030,에이프릴바이오,42400.0,100667.0,137.42%
15,KOSDAQ,024850,HLB이노베이션,14580.0,34500.0,136.63%
16,KOSDAQ,041920,메디아나,13600.0,32000.0,135.29%
17,KOSDAQ,043260,성호전자,42800.0,100000.0,133.64%
18,KOSDAQ,115440,우리넷,10750.0,25000.0,132.56%
19,KOSDAQ,108380,대양전기공업,20900.0,48000.0,129.67%
20,KOSDAQ,298380,에이비엘바이오,95900.0,220000.0,129.41%
21,KOSDAQ,073490,LIG아큐버,35100.0,80000.0,127.92%
22,KOSDAQ,310210,보로노이,197500.0,450000.0,127.85%
23,KOSDAQ,042520,한스바이오메드,24200.0,55000.0,127.27%
24,KOSPI,036420,콘텐트리중앙,4995.0,11200.0,124.22%
25,KOSDAQ,171090,선익시스템,74300.0,166333.0,123.87%
26,KOSDAQ,354320,알멕,53700.0,120000.0,123.46%
27,KOSDAQ,327260,RF머트리얼즈,67400.0,148842.0,120.83%
28,KOSDAQ,226400,오스테오닉,4575.0,10000.0,118.58%
29,KOSDAQ,394420,리센스메디컬,18300.0,40000.0,118.58%
30,KOSDAQ,419530,SAMG엔터,25200.0,55000.0,118.25%
31,KOSDAQ,107640,한중엔시에스,44450.0,97000.0,118.22%
32,KOSDAQ,297090,씨에스베어링,4515.0,9800.0,117.05%
33,KOSDAQ,234340,헥토파이낸셜,23750.0,51500.0,116.84%
34,KOSDAQ,099190,아이센스,16750.0,36000.0,114.93%
35,KOSDAQ,451760,컨텍,12470.0,26700.0,114.11%
36,KOSDAQ,048910,대원미디어,5140.0,11000.0,114.01%
37,KOSDAQ,050890,쏠리드,12970.0,27333.0,110.74%
38,KOSPI,439260,대한조선,64300.0,133400.0,107.47%
39,KOSDAQ,099430,바이오플러스,4675.0,9500.0,103.21%
40,KOSDAQ,063570,NICE인프라,3450.0,7000.0,102.90%
41,KOSDAQ,054210,이랜텍,8960.0,18000.0,100.89%
42,KOSDAQ,473980,노머스,13440.0,27000.0,100.89%
43,KOSDAQ,125490,한라캐스트,12460.0,25000.0,100.64%
44,KOSPI,377300,카카오페이,45500.0,91250.0,100.55%
45,KOSPI,017370,우신시스템,4770.0,9500.0,99.16%
46,KOSDAQ,347700,스피어,35200.0,70000.0,98.86%
47,KOSDAQ,376300,디어유,24050.0,47733.0,98.47%
48,KOSDAQ,475960,토모큐브,38300.0,76000.0,98.43%
49,KOSDAQ,253450,스튜디오드래곤,25450.0,50083.0,96.79%
50,KOSPI,077970,STX엔진,36650.0,72000.0,96.45%
51,KOSDAQ,061090,세나테크놀로지,40850.0,80000.0,95.84%
52,KOSDAQ,052400,코나아이,49350.0,96500.0,95.54%
53,KOSDAQ,058970,엠로,22000.0,43000.0,95.45%
54,KOSPI,249420,일동제약,19500.0,38000.0,94.87%
55,KOSDAQ,450950,아스테라시스,7280.0,14167.0,94.60%
56,KOSDAQ,099320,쎄트렉아이,108000.0,210000.0,94.44%
57,KOSDAQ,405100,큐알티,15500.0,30000.0,93.55%
58,KOSDAQ,474170,루미르,9570.0,18500.0,93.31%
59,KOSDAQ,053580,웹케시,6750.0,13000.0,92.59%
60,KOSDAQ,035760,CJ ENM,38600.0,74250.0,92.36%
61,KOSPI,005810,풍산홀딩스,39300.0,75250.0,91.48%
