순위,시장,종목코드,종목명,현재가,목표가,상승여력(%),전일종가,거래량,거래대금,상장주식수,시가총액(억원)
1,KOSPI,036420,콘텐트리중앙,4995.0,11200.0,124.22%,0.0,0.0,0.0,0.0,0.00
2,KOSPI,439260,대한조선,60600.0,133200.0,119.80%,0.0,73940.0,0.0,0.0,0.00
3,KOSPI,322000,HD현대에너지솔루션,140000.0,304500.0,117.50%,0.0,208221.0,0.0,0.0,0.00
4,KOSPI,077970,STX엔진,33750.0,72000.0,113.33%,0.0,286174.0,0.0,0.0,0.00
5,KOSPI,001430,세아베스틸지주,40950.0,87278.0,113.13%,0.0,300487.0,0.0,0.0,0.00
6,KOSPI,011930,신성이엔지,20200.0,43000.0,112.87%,0.0,382221.0,0.0,0.0,0.00
7,KOSPI,298020,효성티앤씨,293500.0,624000.0,112.61%,0.0,44193.0,0.0,0.0,0.00
8,KOSPI,249420,일동제약,18310.0,38000.0,107.54%,0.0,127439.0,0.0,0.0,0.00
9,KOSPI,377300,카카오페이,44000.0,91250.0,107.39%,0.0,267595.0,0.0,0.0,0.00
10,KOSPI,017370,우신시스템,4620.0,9500.0,105.63%,0.0,19844.0,0.0,0.0,0.00
11,KOSPI,005810,풍산홀딩스,36800.0,75250.0,104.48%,0.0,26879.0,0.0,0.0,0.00
12,KOSPI,103140,풍산,71000.0,141855.0,99.80%,0.0,113386.0,0.0,0.0,0.00
13,KOSPI,100840,SNT에너지,33050.0,66000.0,99.70%,0.0,190744.0,0.0,0.0,0.00
14,KOSPI,010780,아이에스동서,23500.0,46333.0,97.16%,0.0,73936.0,0.0,0.0,0.00
15,KOSPI,035150,백산,10150.0,20000.0,97.04%,0.0,20990.0,0.0,0.0,0.00
16,KOSPI,003030,세아제강지주,127100.0,250000.0,96.70%,0.0,21377.0,0.0,0.0,0.00
17,KOSPI,001680,대상,17540.0,34500.0,96.69%,0.0,132148.0,0.0,0.0,0.00
18,KOSPI,317400,자이에스앤디,3505.0,6800.0,94.01%,0.0,77205.0,0.0,0.0,0.00
